iD,Year,Month,Day,Hour,Minute,Second,ΔPrGross[mm],ΔPrSoil[mm],ΔPet[mm],ΔSink[mm],ΔTranspiration[mm],ΔEvaporation[mm],ΔRecharge[mm],Hpond[mm],ΔRunoff[mm],∑WaterBalance_η[mm]
1.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.566541398461542e-11
2.0,1.0,1.0,1.0,13.0,0.0,0.0,1.8391268479999994,2.2868993825788877,0.0,0.0,0.0,0.0,6.545866966199947e-7,0.0,0.0,4.4904939444112835e-10
3.0,1.0,1.0,1.0,14.0,0.0,0.0,1.8391268479999994,2.230541874381146,0.0,0.0,0.0,0.0,6.545866966200032e-7,0.0,0.0,1.0578216527835212e-10
4.0,1.0,1.0,1.0,15.0,0.0,0.0,1.8391268479999994,2.196553941829478,0.0,0.0,0.0,0.0,6.54586696619971e-7,0.0,0.0,9.672728928575276e-11
5.0,1.0,1.0,1.0,16.0,0.0,0.0,1.8391268479999994,2.166074682459019,0.0,0.0,0.0,0.0,6.545866966200083e-7,0.0,0.0,2.0214295632956268e-10
6.0,1.0,1.0,1.0,17.0,0.0,0.0,1.8391268479999994,2.1386013068878,0.0,0.0,0.0,0.0,6.545866966199947e-7,0.0,0.0,2.791946078832591e-10
7.0,1.0,1.0,1.0,18.0,0.0,0.0,1.8391268479999994,2.1056815645779423,0.0,0.0,0.0,0.0,6.545866966199964e-7,0.0,0.0,5.861741716705872e-10
8.0,1.0,1.0,1.0,19.0,0.0,0.0,1.8391268479999994,2.0830631577482848,0.0,0.0,0.0,0.0,6.545866966200049e-7,0.0,0.0,4.819918319872187e-10
9.0,1.0,1.0,1.0,20.0,0.0,0.0,1.8391268479999994,2.0644399562611895,0.0,0.0,0.0,0.0,6.54586696619993e-7,0.0,0.0,4.0736704706853426e-10
10.0,1.0,1.0,1.0,21.0,0.0,0.0,1.8391268479999994,2.047231485303932,0.0,0.0,0.0,0.0,6.545866966199863e-7,0.0,0.0,5.914653253922151e-10
11.0,1.0,1.0,1.0,22.0,0.0,0.0,1.8391268479999994,2.0247844798682166,0.0,0.0,0.0,0.0,6.545866966199964e-7,0.0,0.0,5.382192661902868e-10
12.0,1.0,1.0,1.0,23.0,0.0,0.0,1.8391268479999994,2.010721574015463,0.0,0.0,0.0,0.0,6.545866966200235e-7,0.0,0.0,4.93949957820108e-10
13.0,1.0,1.0,2.0,0.0,0.0,0.0,1.8391268479999994,1.9984304740913643,0.0,0.0,0.0,0.0,6.54586696619949e-7,0.0,0.0,4.5335127064920295e-10
14.0,1.0,1.0,2.0,1.0,0.0,0.0,1.8391268480001273,1.985953429088525,0.0,0.0,0.0,0.0,6.545866966199947e-7,0.0,0.0,4.116198404500005e-10
15.0,1.0,1.0,2.0,2.0,0.0,0.0,1.8391268479998715,1.970716136995236,0.0,0.0,0.0,0.0,6.545866966199913e-7,0.0,0.0,1.9454803710307315e-10
16.0,1.0,1.0,2.0,3.0,0.0,0.0,1.8391268479999994,1.9617232579414008,0.0,0.0,0.0,0.0,6.545866966199913e-7,0.0,0.0,2.1687643756184548e-10
17.0,1.0,1.0,2.0,4.0,0.0,0.0,1.8391268479999994,1.9531253635114467,0.0,0.0,0.0,0.0,6.545866966200218e-7,0.0,0.0,3.939731375054198e-10
18.0,1.0,1.0,2.0,5.0,0.0,0.0,1.8391268479999994,1.9427019857557468,0.0,0.0,0.0,0.0,6.545866966199981e-7,0.0,0.0,3.96057124863649e-10
19.0,1.0,1.0,2.0,6.0,0.0,0.0,1.8391268479999994,1.9335739329907113,0.0,0.0,0.0,0.0,6.545866966199609e-7,0.0,0.0,3.80979949888882e-10
20.0,1.0,1.0,2.0,7.0,0.0,0.0,1.8391268479999994,1.9270456110440648,0.0,0.0,0.0,0.0,6.545866966200693e-7,0.0,0.0,3.5576512627861836e-10
21.0,1.0,1.0,2.0,8.0,0.0,0.0,1.8391268479999994,1.920796796438637,0.0,0.0,0.0,0.0,6.545866966200489e-7,0.0,0.0,3.2309150154532743e-10
22.0,1.0,1.0,2.0,9.0,0.0,0.0,1.8391268479999994,1.9119522909265356,0.0,0.0,0.0,0.0,6.545866966200218e-7,0.0,0.0,3.104446034758637e-10
23.0,1.0,1.0,2.0,10.0,0.0,0.0,1.8391268479999994,1.9066208903266357,0.0,0.0,0.0,0.0,6.545866969302629e-7,0.0,0.0,3.0120542631978536e-10
24.0,1.0,1.0,2.0,11.0,0.0,0.0,1.8391268480000065,1.9017809975378697,0.0,0.0,0.0,0.0,6.545888293126649e-7,0.0,0.0,3.0899931964276193e-10
25.0,1.0,1.0,2.0,12.0,0.0,0.0,1.8391268479999923,1.896293097165966,0.0,0.0,0.0,0.0,6.545948592457553e-7,0.0,0.0,3.597221182744022e-10
26.0,1.0,1.0,2.0,13.0,0.0,0.0,1.8391268480002623,1.89045774045519,0.0,0.0,0.0,0.0,7.695765990867062e-7,0.0,0.0,3.54890076814813e-10
27.0,1.0,1.0,2.0,14.0,0.0,0.0,1.8391268480000065,1.886683243770463,0.0,0.0,0.0,0.0,0.00025418298412405854,0.0,0.0,4.617005355954329e-10
28.0,1.0,1.0,2.0,15.0,0.0,0.0,1.8391268479994949,1.8830359494211706,0.0,0.0,0.0,0.0,0.002973088213990102,0.0,0.0,6.739921531992192e-10
29.0,1.0,1.0,2.0,16.0,0.0,0.0,1.8391268480000065,1.8779987080188363,0.0,0.0,0.0,0.0,0.027189094623153,0.0,0.0,6.512359045296531e-10
30.0,1.0,1.0,2.0,17.0,0.0,0.0,1.839126848000518,1.8745243191240206,0.0,0.0,0.0,0.0,0.10186348942697987,0.0,0.0,6.378758699391572e-10
31.0,1.0,1.0,2.0,18.0,0.0,0.0,1.8391268480000065,1.8717107207509827,0.0,0.0,0.0,0.0,0.18205368982722359,0.0,0.0,7.051367851132579e-10
32.0,1.0,1.0,2.0,19.0,0.0,0.0,1.8391268480000065,1.868230650728151,0.0,0.0,0.0,0.0,0.3141580272242006,0.0,0.0,9.940081169968425e-10
33.0,1.0,1.0,2.0,20.0,0.0,0.0,1.8391268479994949,1.8646031316162066,0.0,0.0,0.0,0.0,0.48397364767830986,0.0,0.0,1.0153555754272296e-9
34.0,1.0,1.0,2.0,21.0,0.0,0.0,1.8391268480000065,1.862192660369189,0.0,0.0,0.0,0.0,0.5995775028845713,0.0,0.0,9.604701138503288e-10
35.0,1.0,1.0,2.0,22.0,0.0,0.0,1.8391268480000065,1.8595714066191817,0.0,0.0,0.0,0.0,0.7266904414889481,0.0,0.0,8.741560839982872e-10
36.0,1.0,1.0,2.0,23.0,0.0,0.0,1.8391268480000065,1.8557087425398038,0.0,0.0,0.0,0.0,0.90265044165265,0.0,0.0,3.0070458024304285e-9
37.0,1.0,1.0,3.0,0.0,0.0,0.0,1.8391268480000065,1.853659492177556,0.0,0.0,0.0,0.0,0.9877921304790718,0.0,0.0,4.320365626779429e-9
