Year,Month,Day,Hour,Minute,Second,Z=5mm,Z=15mm,Z=25mm,Z=35mm,Z=45mm,Z=55mm,Z=65mm,Z=75mm,Z=85mm,Z=95mm,Z=105mm,Z=115mm,Z=125mm,Z=135mm,Z=145mm,Z=155mm,Z=165mm,Z=175mm,Z=185mm,Z=195mm,Z=205mm,Z=215mm,Z=225mm,Z=235mm,Z=245mm,Z=255mm,Z=265mm,Z=275mm,Z=285mm,Z=295mm,Z=305mm,Z=315mm,Z=325mm,Z=335mm,Z=345mm,Z=355mm,Z=365mm,Z=375mm,Z=385mm,Z=395mm,Z=405mm,Z=415mm,Z=425mm,Z=435mm,Z=445mm,Z=455mm,Z=465mm,Z=475mm,Z=485mm,Z=495mm,Z=505mm,Z=515mm,Z=525mm,Z=535mm,Z=545mm,Z=555mm,Z=565mm,Z=575mm,Z=585mm,Z=595mm,Z=605mm,Z=615mm,Z=625mm,Z=635mm,Z=645mm,Z=655mm,Z=665mm,Z=675mm,Z=685mm,Z=695mm,Z=705mm,Z=715mm,Z=725mm,Z=735mm,Z=745mm,Z=755mm,Z=765mm,Z=775mm,Z=785mm,Z=795mm,Z=805mm,Z=815mm,Z=825mm,Z=835mm,Z=845mm,Z=855mm,Z=865mm,Z=875mm,Z=885mm,Z=895mm,Z=905mm,Z=915mm,Z=925mm,Z=935mm,Z=945mm,Z=955mm,Z=965mm,Z=975mm,Z=985mm,Z=995mm,Z=1005mm,Z=1015mm,Z=1025mm,Z=1035mm,Z=1045mm,Z=1055mm,Z=1065mm,Z=1075mm,Z=1085mm,Z=1095mm,Z=1105mm,Z=1115mm,Z=1125mm,Z=1135mm,Z=1145mm,Z=1155mm,Z=1165mm,Z=1175mm,Z=1185mm,Z=1195mm,Z=1205mm,Z=1215mm,Z=1225mm,Z=1235mm,Z=1245mm,Z=1255mm,Z=1265mm,Z=1275mm,Z=1285mm,Z=1295mm,Z=1305mm,Z=1315mm,Z=1325mm,Z=1335mm,Z=1345mm,Z=1355mm,Z=1365mm,Z=1375mm,Z=1385mm,Z=1395mm,Z=1405mm,Z=1415mm,Z=1425mm,Z=1435mm,Z=1445mm,Z=1455mm,Z=1465mm,Z=1475mm,Z=1485mm,Z=1495mm,Z=1505mm,Z=1515mm,Z=1525mm,Z=1535mm,Z=1545mm,Z=1555mm,Z=1565mm,Z=1575mm,Z=1585mm,Z=1595mm,Z=1605mm,Z=1615mm,Z=1625mm,Z=1635mm,Z=1645mm,Z=1655mm,Z=1665mm,Z=1675mm,Z=1685mm,Z=1695mm,Z=1705mm,Z=1715mm,Z=1725mm,Z=1735mm,Z=1745mm,Z=1755mm,Z=1765mm,Z=1775mm,Z=1785mm,Z=1795mm
1,1,6,0,0,0,0.1583,0.1591,0.1598,0.1606,0.1617,0.1628,0.1639,0.1651,0.1663,0.1676,0.1689,0.1702,0.1715,0.1729,0.1743,0.1758,0.1772,0.1787,0.1802,0.1818,0.1833,0.1849,0.1864,0.188,0.1897,0.1913,0.1931,0.1952,0.1973,0.1995,0.2017,0.2039,0.2062,0.2084,0.2107,0.213,0.2153,0.2177,0.22,0.2224,0.2248,0.2276,0.2305,0.2334,0.2363,0.2392,0.2421,0.2451,0.248,0.251,0.2539,0.2572,0.2605,0.2639,0.2673,0.2707,0.2742,0.2776,0.281,0.2846,0.4442,0.444,0.4438,0.4436,0.4434,0.4432,0.4429,0.4427,0.4425,0.4422,0.442,0.4417,0.4414,0.4412,0.4409,0.4406,0.4403,0.4399,0.4396,0.4392,0.4389,0.4385,0.4381,0.4376,0.4372,0.4367,0.4362,0.4357,0.4352,0.4347,0.4341,0.4335,0.4329,0.4322,0.4316,0.4308,0.4301,0.4292,0.4284,0.4276,0.4267,0.4258,0.4248,0.4237,0.4226,0.4214,0.4201,0.4189,0.4175,0.4161,0.4146,0.4129,0.4111,0.4093,0.4074,0.4053,0.403,0.4004,0.3979,0.3951,0.1184,0.1183,0.1181,0.118,0.1178,0.1177,0.1176,0.1174,0.1173,0.1171,0.117,0.1169,0.1167,0.1166,0.1164,0.1163,0.1162,0.116,0.1159,0.1158,0.1156,0.1155,0.1154,0.1152,0.1151,0.115,0.1148,0.1147,0.1146,0.1144,0.1143,0.1142,0.1141,0.114,0.1138,0.1137,0.1136,0.1135,0.1134,0.1133,0.1132,0.1131,0.113,0.1129,0.1128,0.1127,0.1126,0.1126,0.1125,0.1124,0.1123,0.1123,0.1122,0.1122,0.1121,0.1121,0.1121,0.1121,0.112,0.112
1,1,11,0,0,0,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.29,0.3,0.3,0.3,0.31,0.31,0.32,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13
1,1,21,0,0,0,0.17,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.3,0.3,0.3,0.31,0.31,0.31,0.32,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
1,1,31,0,0,0,0.1685,0.17,0.17,0.17,0.17,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.24,0.24,0.24,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.27,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.3,0.3,0.3,0.31,0.31,0.31,0.32,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.41,0.41,0.41,0.4,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
