iD,Year,Month,Day,Hour,Minute,Second,ΔPrGross[mm],ΔPrSoil[mm],ΔPet[mm],ΔSink[mm],ΔTranspiration[mm],ΔEvaporation[mm],ΔRecharge[mm],Hpond[mm],ΔRunoff[mm],∑WaterBalance_η[mm]
1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.606140446410876e-16
2.0,1.0,1.0,6.0,0.0,0.0,0.0,19.958400000000907,19.958400000000722,0.0,0.0,0.0,0.0,8.640000000000007e-10,0.0,0.0,1.9160878904973815e-8
3.0,1.0,1.0,7.0,0.0,0.0,0.0,19.958399999997795,19.95839999999879,0.0,0.0,0.0,0.0,8.640000000000003e-10,0.0,0.0,2.836486662402416e-8
4.0,1.0,1.0,8.0,0.0,0.0,0.0,19.958399999998107,19.95839999999764,0.0,0.0,0.0,0.0,8.640000000000003e-10,0.0,0.0,1.8913665189738764e-8
5.0,1.0,1.0,9.0,0.0,0.0,0.0,19.95840000000436,19.958400000003195,0.0,0.0,0.0,0.0,8.639999999999995e-10,0.0,0.0,1.4206865391945242e-8
6.0,1.0,1.0,10.0,0.0,0.0,0.0,19.95840000000021,19.958400000000296,0.0,0.0,0.0,0.0,8.639999999999631e-10,0.0,0.0,1.136563004017755e-8
7.0,1.0,1.0,11.0,0.0,0.0,0.0,19.95839999999194,19.958399999993105,0.0,0.0,0.0,0.0,8.640000000000235e-10,0.0,0.0,9.471588238387998e-9
8.0,1.0,1.0,12.0,0.0,0.0,0.0,19.95840000000021,19.958400000005213,0.0,0.0,0.0,0.0,8.640000000001476e-10,0.0,0.0,8.118432476376134e-9
9.0,1.0,1.0,13.0,0.0,0.0,0.0,19.95840000000848,19.958400000005838,0.0,0.0,0.0,0.0,8.640000000000648e-10,0.0,0.0,7.103571813469656e-9
10.0,1.0,1.0,14.0,0.0,0.0,0.0,19.958400000007885,19.958400000004644,0.0,0.0,0.0,0.0,8.63999999999691e-10,0.0,0.0,6.314250833201144e-9
11.0,1.0,1.0,15.0,0.0,0.0,0.0,19.958399999982987,19.958399999983783,0.0,0.0,0.0,0.0,8.640000000002104e-10,0.0,0.0,5.6828643058487295e-9
12.0,1.0,1.0,16.0,0.0,0.0,0.0,19.95839999999953,19.958400000002086,0.0,0.0,0.0,0.0,8.640000000001641e-10,0.0,0.0,5.166241958704564e-9
13.0,1.0,1.0,17.0,0.0,0.0,0.0,19.95839999999953,19.958399999989524,0.0,0.0,0.0,0.0,8.640000000000136e-10,0.0,0.0,4.735693723158789e-9
