iD,Year,Month,Day,Hour,Minute,Second,ΔPrGross[mm],ΔPrSoil[mm],ΔPet[mm],ΔSink[mm],ΔTranspiration[mm],ΔEvaporation[mm],ΔRecharge[mm],Hpond[mm],ΔRunoff[mm],∑WaterBalance_η[mm]
1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.603592466571603e-9
2.0,1.0,1.0,7.0,0.0,0.0,0.0,3.1968000000005325,3.1968000000005308,0.0,0.0,0.0,0.0,0.010932253401067238,0.0,0.0,1.8441524037685717e-6
3.0,1.0,1.0,8.0,0.0,0.0,0.0,3.196799999999449,3.196799999999744,0.0,0.0,0.0,0.0,0.009661784725879169,0.0,0.0,1.3203114004084293e-6
4.0,1.0,1.0,9.0,0.0,0.0,0.0,3.1967999999999677,3.196800000000014,0.0,0.0,0.0,0.0,0.00928781379474411,0.0,0.0,9.525370439950028e-7
5.0,1.0,1.0,10.0,0.0,0.0,0.0,3.1967999999999677,3.196800000000067,0.0,0.0,0.0,0.0,0.010471070481460898,0.0,0.0,6.850168419084062e-7
6.0,1.0,1.0,11.0,0.0,0.0,0.0,3.1968000000010015,3.1968000000006462,0.0,0.0,0.0,0.0,0.01450212161817882,0.0,0.0,4.850826542063226e-7
7.0,1.0,1.0,12.0,0.0,0.0,0.0,3.1967999999988344,3.1967999999988663,0.0,0.0,0.0,0.0,0.023415255228553478,0.0,0.0,3.3249653061864206e-7
8.0,1.0,1.0,13.0,0.0,0.0,0.0,3.1967999999990226,3.196799999999598,0.0,0.0,0.0,0.0,0.040087024090808665,0.0,0.0,2.141461391898766e-7
9.0,1.0,1.0,14.0,0.0,0.0,0.0,3.1968000000021206,3.1968000000018293,0.0,0.0,0.0,0.0,0.0683108973514811,0.0,0.0,1.2122354697027166e-7
10.0,1.0,1.0,15.0,0.0,0.0,0.0,3.1967999999979853,3.1967999999964647,0.0,0.0,0.0,0.0,0.11281869610901418,0.0,0.0,4.763560879166936e-8
11.0,1.0,1.0,16.0,0.0,0.0,0.0,3.196800000000053,3.196800000001403,0.0,0.0,0.0,0.0,0.1791811783401711,0.0,0.0,1.0936475405365976e-8
12.0,1.0,1.0,17.0,0.0,0.0,0.0,3.1968000000021206,3.1968000000018932,0.0,0.0,0.0,0.0,0.27347481741269597,0.0,0.0,5.761973847003871e-8
13.0,1.0,1.0,18.0,0.0,0.0,0.0,3.196800000000053,3.196800000000053,0.0,0.0,0.0,0.0,0.4015709880143188,0.0,0.0,9.472801724118465e-8
14.0,1.0,1.0,19.0,0.0,0.0,0.0,3.196800000000053,3.196800000000053,0.0,0.0,0.0,0.0,0.56793391859462,0.0,0.0,1.2401245363836232e-7
15.0,1.0,1.0,20.0,0.0,0.0,0.0,3.196800000000053,3.196800000000053,0.0,0.0,0.0,0.0,0.7739751662230141,0.0,0.0,1.4680103545842364e-7
16.0,1.0,1.0,21.0,0.0,0.0,0.0,3.19680000000006,3.1967999999995698,0.0,0.0,0.0,0.0,1.0163475846705445,0.0,0.0,1.6402001381637192e-7
17.0,1.0,1.0,22.0,0.0,0.0,0.0,3.196800000000046,3.1968000000001666,0.0,0.0,0.0,0.0,1.2859626110105324,0.0,0.0,1.7616426027895458e-7
18.0,1.0,1.0,23.0,0.0,0.0,0.0,3.196800000000053,3.1968000000001666,0.0,0.0,0.0,0.0,1.5686269980869767,0.0,0.0,1.834138117333779e-7
19.0,1.0,1.0,24.0,0.0,0.0,0.0,3.196800000000053,3.1967999999974097,0.0,0.0,0.0,0.0,1.8476196520595174,0.0,0.0,1.8600776457841844e-7
20.0,1.0,1.0,25.0,0.0,0.0,0.0,3.196800000000053,3.1968000000001666,0.0,0.0,0.0,0.0,2.1073888356534667,0.0,0.0,1.8461943838700194e-7
21.0,1.0,1.0,26.0,0.0,0.0,0.0,3.196800000000053,3.1968000000000103,0.0,0.0,0.0,0.0,2.3367352913966926,0.0,0.0,1.803603825912061e-7
22.0,1.0,1.0,27.0,0.0,0.0,0.0,3.196800000000053,3.1967999999999392,0.0,0.0,0.0,0.0,2.5301807582546942,0.0,0.0,1.74439631440631e-7
23.0,1.0,1.0,28.0,0.0,0.0,0.0,3.196800000000053,3.196800000005453,0.0,0.0,0.0,0.0,2.6874041424193535,0.0,0.0,1.6782762842556877e-7
24.0,1.0,1.0,29.0,0.0,0.0,0.0,3.196800000000053,3.1967999999999392,0.0,0.0,0.0,0.0,2.8115828926375883,0.0,0.0,1.611394394873807e-7
25.0,1.0,1.0,30.0,0.0,0.0,0.0,3.196800000000053,3.1967999999999392,0.0,0.0,0.0,0.0,2.9076130436387757,0.0,0.0,1.5469298528879445e-7
26.0,1.0,1.0,31.0,0.0,0.0,0.0,3.196800000000053,3.1967999999990155,0.0,0.0,0.0,0.0,2.9807706527145825,0.0,0.0,1.4861887205434384e-7
