iD,Year,Month,Day,Hour,Minute,Second,ΔPrGross[mm],ΔPrSoil[mm],ΔPet[mm],ΔSink[mm],ΔTranspiration[mm],ΔEvaporation[mm],ΔRecharge[mm],Hpond[mm],ΔRunoff[mm],∑WaterBalance_η[mm]
1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.469272946592866e-9
2.0,1.0,1.0,7.0,0.0,0.0,0.0,19.958399999997795,19.958399999997695,2.4864364923410996e-91,0.0,0.0,0.0,8.713275058042214,0.0,0.0,2.769887884015294e-9
3.0,1.0,1.0,8.0,0.0,0.0,0.0,19.958399999998107,19.95840000000048,6.772760827997608e-43,0.0,0.0,0.0,11.720708867562742,0.0,0.0,1.5356834061955775e-9
4.0,1.0,1.0,9.0,0.0,0.0,0.0,19.95840000000436,19.95840000000132,-6.772760827997608e-43,0.0,0.0,0.0,14.483190880801494,0.0,0.0,1.0423997985558258e-9
5.0,1.0,1.0,10.0,0.0,0.0,0.0,19.95840000000021,19.958400000003053,-2.6308e-319,0.0,0.0,0.0,16.527100884032308,0.0,0.0,7.869888913028283e-10
6.0,1.0,1.0,11.0,0.0,0.0,0.0,19.95839999999194,19.958399999991286,0.0,0.0,0.0,0.0,17.874477753856112,0.0,0.0,6.316599632857861e-10
7.0,1.0,1.0,12.0,0.0,0.0,0.0,19.95840000000021,19.958400000000125,0.0,0.0,0.0,0.0,18.71388518698957,0.0,0.0,5.274792287467616e-10
8.0,1.0,1.0,13.0,0.0,0.0,0.0,19.95840000000848,19.958400000009647,0.0,0.0,0.0,0.0,19.222282859570512,0.0,0.0,1.6994044383675732e-9
9.0,1.0,1.0,14.0,0.0,0.0,0.0,19.958400000007885,19.958400000010613,0.0,0.0,0.0,0.0,19.525502319562293,0.0,0.0,1.7923612786175865e-9
10.0,1.0,1.0,15.0,0.0,0.0,0.0,19.958399999982987,19.958399999977473,0.0,0.0,0.0,0.0,19.704719162834692,0.0,0.0,1.651048359931443e-9
11.0,1.0,1.0,16.0,0.0,0.0,0.0,19.95839999999953,19.958400000003223,0.0,0.0,0.0,0.0,19.81006206415475,0.0,0.0,1.497362231409061e-9
12.0,1.0,1.0,17.0,0.0,0.0,0.0,19.95839999999953,19.958399999995834,0.0,0.0,0.0,0.0,19.871773715841783,0.0,0.0,1.3639141645179828e-9
13.0,1.0,1.0,18.0,0.0,0.0,0.0,19.95840000001607,19.958400000010556,0.0,0.0,0.0,0.0,19.90785157583298,0.0,0.0,1.251193536477848e-9
14.0,1.0,1.0,19.0,0.0,0.0,0.0,19.958399999982987,19.9583999999885,0.0,0.0,0.0,0.0,19.928917524537695,0.0,0.0,1.1554727332283899e-9
15.0,1.0,1.0,20.0,0.0,0.0,0.0,19.95839999999953,19.95839999999953,0.0,0.0,0.0,0.0,19.941208996556043,0.0,0.0,9.36106946842105e-10
16.0,1.0,1.0,21.0,0.0,0.0,0.0,19.95839999999953,19.95839999999953,0.0,0.0,0.0,0.0,19.948377806340147,0.0,0.0,2.6747443205564e-10
17.0,1.0,1.0,22.0,0.0,0.0,0.0,19.95839999999953,19.95839999999953,0.0,0.0,0.0,0.0,19.952557713499345,0.0,0.0,6.145929869066373e-10
18.0,1.0,1.0,23.0,0.0,0.0,0.0,19.95839999999953,19.95839999999953,0.0,0.0,0.0,0.0,19.954994479578318,0.0,0.0,6.94940308096937e-10
19.0,1.0,1.0,24.0,0.0,0.0,0.0,19.95839999999953,19.95839999999953,0.0,0.0,0.0,0.0,19.956414947885946,0.0,0.0,6.938161794440578e-10
20.0,1.0,1.0,25.0,0.0,0.0,0.0,19.95839999999953,19.958399999989524,0.0,0.0,0.0,0.0,19.957242948867474,0.0,0.0,6.694435299239866e-10
21.0,1.0,1.0,26.0,0.0,0.0,0.0,19.95839999999953,19.958400000009533,0.0,0.0,0.0,0.0,19.95772558320033,0.0,0.0,6.399573242749337e-10
22.0,1.0,1.0,27.0,0.0,0.0,0.0,19.95839999999953,19.95840000002204,0.0,0.0,0.0,0.0,19.958006901525835,0.0,0.0,6.10829831817673e-10
23.0,1.0,1.0,28.0,0.0,0.0,0.0,19.95839999999953,19.95839999997702,0.0,0.0,0.0,0.0,19.958170874968914,0.0,0.0,5.835507472090698e-10
24.0,1.0,1.0,29.0,0.0,0.0,0.0,19.95839999999953,19.95839999999953,0.0,0.0,0.0,0.0,19.958266450341057,0.0,0.0,5.583803361424577e-10
25.0,1.0,1.0,30.0,0.0,0.0,0.0,19.95839999999953,19.95839999999953,0.0,0.0,0.0,0.0,19.958322158273177,0.0,0.0,5.352180478709241e-10
26.0,1.0,1.0,31.0,0.0,0.0,0.0,19.95839999999953,19.95839999999953,0.0,0.0,0.0,0.0,19.95835462867086,0.0,0.0,5.138767487929375e-10
